"","sample_id","project","s_project","organ","marker","type","control_type","code","nb_reads","nb_motus","low_contamination_level","seqdepth_ok","nb_reads_postmetabaR","nb_motus_postmetabaR","name","family"
"DRYER_natura_root_16S_45_NA","DRYER_natura_root_16S_45_NA","DRYER","natura","root","16S","sample",NA,"45",10231,691,TRUE,TRUE,9392,510,"Eperua_falcata","Fabaceae"
"DRYER_natura_root_16S_47_NA","DRYER_natura_root_16S_47_NA","DRYER","natura","root","16S","sample",NA,"47",6578,563,TRUE,TRUE,5641,389,"Tachigali_melinonii","Fabaceae"
"DRYER_natura_root_16S_49_NA","DRYER_natura_root_16S_49_NA","DRYER","natura","root","16S","sample",NA,"49",2104,329,TRUE,TRUE,1694,249,"Pterocarpus_officinalis","Fabaceae"
"DRYER_natura_root_16S_5_NA","DRYER_natura_root_16S_5_NA","DRYER","natura","root","16S","sample",NA,"5",8360,412,TRUE,TRUE,7871,355,"Symphonia_globulifera","Clusiaceae"
"DRYER_natura_root_16S_50_NA","DRYER_natura_root_16S_50_NA","DRYER","natura","root","16S","sample",NA,"50",12253,398,TRUE,TRUE,2522,323,"Pterocarpus_officinalis","Fabaceae"
"DRYER_natura_root_16S_51_NA","DRYER_natura_root_16S_51_NA","DRYER","natura","root","16S","sample",NA,"51",11094,724,TRUE,TRUE,10141,620,"Pterocarpus_officinalis","Fabaceae"
"DRYER_natura_root_16S_52_NA","DRYER_natura_root_16S_52_NA","DRYER","natura","root","16S","sample",NA,"52",14299,525,TRUE,TRUE,13563,443,"Eperua_falcata","Fabaceae"
"DRYER_natura_root_16S_53_NA","DRYER_natura_root_16S_53_NA","DRYER","natura","root","16S","sample",NA,"53",15419,699,TRUE,TRUE,14943,620,"Iryanthera_hostmannii","Fabaceae"
"DRYER_natura_root_16S_54_NA","DRYER_natura_root_16S_54_NA","DRYER","natura","root","16S","sample",NA,"54",11890,489,TRUE,TRUE,10483,398,"Jacaranda_copaia","Bignoniaceae"
"DRYER_natura_root_16S_55_NA","DRYER_natura_root_16S_55_NA","DRYER","natura","root","16S","sample",NA,"55",10126,522,TRUE,TRUE,9216,417,"Jacaranda_copaia","Bignoniaceae"
"DRYER_natura_root_16S_56_NA","DRYER_natura_root_16S_56_NA","DRYER","natura","root","16S","sample",NA,"56",21493,181,TRUE,TRUE,7645,155,"Tachigali_melinonii","Fabaceae"
"DRYER_natura_root_16S_57_NA","DRYER_natura_root_16S_57_NA","DRYER","natura","root","16S","sample",NA,"57",12463,614,TRUE,TRUE,12027,530,"Virola_surinamensis","Myristicaceae"
"DRYER_natura_root_16S_58_NA","DRYER_natura_root_16S_58_NA","DRYER","natura","root","16S","sample",NA,"58",31344,646,TRUE,TRUE,15655,555,"Pterocarpus_officinalis","Fabaceae"
"DRYER_natura_root_16S_59_NA","DRYER_natura_root_16S_59_NA","DRYER","natura","root","16S","sample",NA,"59",12227,341,TRUE,TRUE,4047,241,"Pterocarpus_officinalis","Fabaceae"
"DRYER_natura_root_16S_6_NA","DRYER_natura_root_16S_6_NA","DRYER","natura","root","16S","sample",NA,"6",12063,493,TRUE,TRUE,11134,416,"Symphonia_globulifera","Clusiaceae"
"DRYER_natura_root_16S_60_NA","DRYER_natura_root_16S_60_NA","DRYER","natura","root","16S","sample",NA,"60",25539,198,TRUE,TRUE,1195,105,"Pterocarpus_officinalis","Fabaceae"
"DRYER_natura_root_16S_63_NA","DRYER_natura_root_16S_63_NA","DRYER","natura","root","16S","sample",NA,"63",13009,589,TRUE,TRUE,12396,497,"Virola_surinamensis","Myristicaceae"
"DRYER_natura_root_16S_64_NA","DRYER_natura_root_16S_64_NA","DRYER","natura","root","16S","sample",NA,"64",35765,650,TRUE,TRUE,34777,602,"Virola_surinamensis","Myristicaceae"
"DRYER_natura_root_16S_65_NA","DRYER_natura_root_16S_65_NA","DRYER","natura","root","16S","sample",NA,"65",22026,904,TRUE,TRUE,20760,797,"Virola_surinamensis","Myristicaceae"
"DRYER_natura_root_16S_66_NA","DRYER_natura_root_16S_66_NA","DRYER","natura","root","16S","sample",NA,"66",13593,558,TRUE,TRUE,13099,433,"Virola_surinamensis","Myristicaceae"
"DRYER_natura_root_16S_67_NA","DRYER_natura_root_16S_67_NA","DRYER","natura","root","16S","sample",NA,"67",15627,723,TRUE,TRUE,14541,627,"Virola_surinamensis","Myristicaceae"
"DRYER_natura_root_16S_68_NA","DRYER_natura_root_16S_68_NA","DRYER","natura","root","16S","sample",NA,"68",25868,835,TRUE,TRUE,24215,759,"Virola_surinamensis","Myristicaceae"
"DRYER_natura_root_16S_69_NA","DRYER_natura_root_16S_69_NA","DRYER","natura","root","16S","sample",NA,"69",24172,522,TRUE,TRUE,9165,407,"Tachigali_melinonii","Fabaceae"
"DRYER_natura_root_16S_7_NA","DRYER_natura_root_16S_7_NA","DRYER","natura","root","16S","sample",NA,"7",7764,469,TRUE,TRUE,7480,404,"Iryanthera_hostmannii","Myristicaceae"
"DRYER_natura_root_16S_70_NA","DRYER_natura_root_16S_70_NA","DRYER","natura","root","16S","sample",NA,"70",15815,693,TRUE,TRUE,14885,583,"Jacaranda_copaia","Bignoniaceae"
"DRYER_natura_root_16S_71_NA","DRYER_natura_root_16S_71_NA","DRYER","natura","root","16S","sample",NA,"71",21220,740,TRUE,TRUE,19394,642,"Jacaranda_copaia","Bignoniaceae"
"DRYER_natura_root_16S_72_NA","DRYER_natura_root_16S_72_NA","DRYER","natura","root","16S","sample",NA,"72",15338,617,TRUE,TRUE,14170,497,"Jacaranda_copaia","Bignoniaceae"
